Test name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 1,Lodging,N18-1604 - Checks,0.8610538673139606,0.1825950069362721,52.78272516406745,4.715648482187024,3.064210797949496e-4
Jay Test 1,Lodging,N18-1641 - Checks,0.6526346682849459,0.18259500693627206,52.78272516406745,3.5742196856057706,0.012854271611845602
Jay Test 1,Lodging,N18-1956 - Checks,0.5694730663429748,0.18259500693627206,52.78272516406762,3.1187767721475974,0.04881968830487693
Jay Test 2,Lodging,N18-1577 - Checks,0.9707416154137735,0.21548350114180395,55.60743421531468,4.504946366055906,5.524888764968372e-4
Jay Test 2,Lodging,N18-1579 - Checks,0.7970518875941545,0.21548350114180403,55.60743421531468,3.698899838598945,0.00793173787719137
Jay Test 2,Lodging,N18-1586 - Checks,0.7346933976694667,0.21548350114180392,55.60743421531468,3.409511140186945,0.019306479629034534
Jay Test 2,Lodging,N18-1628 - Checks,1.1720518875941537,0.21548350114180398,55.60743421531468,5.439172286433463,1.9811558813476182e-5
Jay Test 2,Lodging,N18-1659 - Checks,0.7278590166169318,0.21548350114180392,55.60743421531468,3.377794646737001,0.021227142637296192
Jay Test 2,Lodging,N18-1661 - Checks,1.1791692887973122,0.21548350114180387,55.60743421531468,5.472202199004242,1.75541598395057e-5
Jay Test 2,Lodging,N18-1796 - Checks,0.922051887594154,0.21548350114180395,55.60743421531468,4.278990654543785,0.0011937388334405385
Jay Test 2,Lodging,N18-1820 - Checks,0.87364517992516,0.21548350114180395,55.60743421531468,4.054348362152504,0.0025243143230118115
